t,x,y,z,roll,pitch,yaw
2.480434894561767578e+00,-6.520895101077325839e-03,-1.640481661689506196e-02,-4.812867665569405223e-05,4.479871171038254940e-02,3.539720677890829253e-02,1.078470979280234587e-03
2.480487108230590820e+00,-6.521333613867061167e-03,-1.640622055759611772e-02,-4.791092014231537603e-05,4.479889044244506069e-02,3.539714959950079204e-02,1.078461551087878632e-03
2.480505228042602539e+00,-6.521485813123472676e-03,-1.640670779192667655e-02,-4.783538924193485217e-05,4.479898800884592192e-02,3.539712025026730408e-02,1.078476811101261113e-03
2.480520725250244141e+00,-6.521615998058985855e-03,-1.640712449061503334e-02,-4.777079438764110839e-05,4.479904077883781199e-02,3.539707284062487691e-02,1.078478545609619452e-03
2.480535507202148438e+00,-6.521740182768665482e-03,-1.640752193734910241e-02,-4.770917854264400762e-05,4.479908824046600208e-02,3.539704591144397089e-02,1.078465620800369250e-03
2.480551004409790039e+00,-6.521870379638523667e-03,-1.640793859219745465e-02,-4.764457486645016457e-05,4.479906004505770922e-02,3.539700740975858934e-02,1.078440854338140334e-03
2.530408620834350586e+00,-6.912770497978505159e-03,-1.773771524914994485e-02,2.219382585112834806e-04,4.433699977668489195e-02,3.530895841764775112e-02,9.872933310913277298e-04
2.530451536178588867e+00,-6.913082889289012302e-03,-1.773885075716915768e-02,2.222234045390200294e-04,4.433672376592014130e-02,3.530896967548022986e-02,9.872587261555456056e-04
2.530465841293334961e+00,-6.913187018613636131e-03,-1.773922929111280619e-02,2.223184438950845301e-04,4.433668325056278753e-02,3.530898721182170602e-02,9.872414192652039650e-04
2.530477523803710938e+00,-6.913272055221872034e-03,-1.773953844415560033e-02,2.223960547734943371e-04,4.433666779994949181e-02,3.530900813772278046e-02,9.871950511030314849e-04
2.530489444732666016e+00,-6.913358827955192777e-03,-1.773985391592289990e-02,2.224752428952016465e-04,4.433671810011987485e-02,3.530900639365777000e-02,9.871986554274060372e-04
2.581402778625488281e+00,-7.321824216739265638e-03,-1.913363390779928078e-02,6.157513274110390294e-04,4.469012265080391649e-02,3.516816576921721199e-02,9.974057497735490559e-04
2.581452846527099609e+00,-7.322263173979302181e-03,-1.913505014677464866e-02,6.161923063348217653e-04,4.469038287170969820e-02,3.516822518450757329e-02,9.975466496941730061e-04
2.581478834152221680e+00,-7.322491053809390520e-03,-1.913578518474771256e-02,6.164212223160181600e-04,4.469051983255339228e-02,3.516826757439677625e-02,9.975304690228658459e-04
